Time_days,Experimental_Release_percent,Sqrt_Time,Higuchi_Predicted_percent,Prediction_Error_percent,Absolute_Error_percent
1.08,21.7,1.03923048454133,21.1023936003859,0.597606399614136,0.597606399614136
2.96,22.4,1.72046505340853,23.269988234451,-0.869988234450965,0.869988234450965
6.85,24.49,2.61725046566048,26.1234359840823,-1.63343598408232,1.63343598408232
13.96,30.73,3.73630833845388,29.6841241099196,1.04587589008045,1.04587589008045
20.95,32.43,4.57711699653832,32.3594615323436,0.0705384676564265,0.0705384676564265
27.66,34.94,5.25927751692188,34.5300024166872,0.409997583312794,0.409997583312794
34.92,36.71,5.90931468107766,36.598331202923,0.111668797076995,0.111668797076995
41.9,39.85,6.4730209330729,38.3919669091169,1.45803309088307,1.45803309088307
48.89,41.28,6.99213844256534,40.0437273737923,1.23627262620766,1.23627262620766
55.74,41.67,7.46592258197204,41.5512432944698,0.118756705530245,0.118756705530245
62.87,42.07,7.92906047397799,43.024884321251,-0.954884321250965,0.954884321250965
69.86,42.8,8.35822947758674,44.3904410205775,-1.59044102057749,1.59044102057749
